Ancora;ID;Reverberancia;Média de Indiferenciavel
9;10;1;0
1;10;1;1
9;10;2;0
1;10;2;0,5
9;10;3;0
1;10;3;0,5
9;10;4;0
1;10;4;0
9;10;5;0
1;10;5;0
9;10;6;0,5
1;10;6;0
9;10;7;0,5
1;10;7;0
9;10;8;0,5
1;10;8;0
9;10;9;0,5
1;10;9;0
9;11;1;0,5
1;11;1;1
9;11;2;0
1;11;2;0,5
9;11;3;0
1;11;3;0,5
9;11;4;0,5
1;11;4;0
9;11;5;0,5
1;11;5;0,5
9;11;6;1
1;11;6;0
9;11;7;0,5
1;11;7;0
9;11;8;1
1;11;8;0
9;11;9;1
1;11;9;0,5
9;12;1;0
1;12;1;1
9;12;2;0
1;12;2;1
9;12;3;0
1;12;3;0,5
9;12;4;0
1;12;4;0,5
9;12;5;0
1;12;5;0
9;12;6;1
1;12;6;0
9;12;7;1
1;12;7;0
9;12;8;0,5
1;12;8;0
9;12;9;1
1;12;9;0
9;13;1;0
1;13;1;1
9;13;2;0,5
1;13;2;1
9;13;3;0,5
1;13;3;1
9;13;4;0
1;13;4;0,5
9;13;5;0
1;13;5;0
9;13;6;0,5
1;13;6;0
9;13;7;1
1;13;7;0
9;13;8;1
1;13;8;0
9;13;9;1
1;13;9;0
9;14;1;0,5
1;14;1;1
9;14;2;0
1;14;2;1
9;14;3;0
1;14;3;1
9;14;4;0,5
1;14;4;1
9;14;5;0
1;14;5;1
9;14;6;1
1;14;6;0
9;14;7;1
1;14;7;0
9;14;8;1
1;14;8;0
9;14;9;1
1;14;9;0
9;15;1;0
1;15;1;1
9;15;2;0
1;15;2;1
9;15;3;0,5
1;15;3;0
9;15;4;0
1;15;4;0
9;15;5;0,5
1;15;5;0
9;15;6;1
1;15;6;0
9;15;7;1
1;15;7;0
9;15;8;1
1;15;8;0
9;15;9;0,5
1;15;9;0
9;16;1;1
1;16;1;1
9;16;2;0,5
1;16;2;1
9;16;3;0
1;16;3;1
9;16;4;0,5
1;16;4;0,5
9;16;5;0
1;16;5;0,5
9;16;6;1
1;16;6;0
9;16;7;1
1;16;7;0
9;16;8;1
1;16;8;0
9;16;9;1
1;16;9;0
9;17;1;0
1;17;1;0,5
9;17;2;0
1;17;2;0,5
9;17;3;0
1;17;3;0,5
9;17;4;0,5
1;17;4;0
9;17;5;0
1;17;5;0,5
9;17;6;0,5
1;17;6;0
9;17;7;1
1;17;7;0
9;17;8;1
1;17;8;0
9;17;9;0
1;17;9;0
9;18;1;0
1;18;1;0
9;18;2;0
1;18;2;0
9;18;3;0
1;18;3;0,5
9;18;4;0
1;18;4;0
9;18;5;0
1;18;5;0
9;18;6;0,5
1;18;6;0
9;18;7;1
1;18;7;0
9;18;8;0,5
1;18;8;0
9;18;9;1
1;18;9;0,5
9;19;1;0,5
1;19;1;1
9;19;2;0,5
1;19;2;1
9;19;3;0
1;19;3;0
9;19;4;0
1;19;4;0,5
9;19;5;0
1;19;5;0,5
9;19;6;0,5
1;19;6;0,5
9;19;7;0,5
1;19;7;0
9;19;8;1
1;19;8;0,5
9;19;9;1
1;19;9;0
9;20;1;0
1;20;1;0,5
9;20;2;0
1;20;2;1
9;20;3;0
1;20;3;0
9;20;4;0
1;20;4;0,5
9;20;5;0,5
1;20;5;0
9;20;6;0,5
1;20;6;0
9;20;7;0,5
1;20;7;0
9;20;8;1
1;20;8;0
9;20;9;0,5
1;20;9;0
9;21;1;0,5
1;21;1;0
9;21;2;0
1;21;2;0,5
9;21;3;0
1;21;3;0
9;21;4;0,5
1;21;4;1
9;21;5;0
1;21;5;0
9;21;6;0
1;21;6;0
9;21;7;0,5
1;21;7;0
9;21;8;0,5
1;21;8;0
9;21;9;1
1;21;9;0,5
9;22;1;0
1;22;1;1
9;22;2;0
1;22;2;0
9;22;3;0
1;22;3;0,5
9;22;4;0
1;22;4;0,5
9;22;5;0
1;22;5;0,5
9;22;6;0,5
1;22;6;0
9;22;7;1
1;22;7;0
9;22;8;1
1;22;8;0
9;22;9;1
1;22;9;0
9;23;1;0
1;23;1;1
9;23;2;0
1;23;2;0,5
9;23;3;0
1;23;3;0,5
9;23;4;0,5
1;23;4;0,5
9;23;5;0,5
1;23;5;0
9;23;6;1
1;23;6;0
9;23;7;0,5
1;23;7;0
9;23;8;1
1;23;8;0
9;23;9;1
1;23;9;0
9;24;1;0,5
1;24;1;1
9;24;2;0,5
1;24;2;1
9;24;3;1
1;24;3;0,5
9;24;4;1
1;24;4;1
9;24;5;0,5
1;24;5;1
9;24;6;1
1;24;6;1
9;24;7;0
1;24;7;0,5
9;24;8;1
1;24;8;0,5
